"psig","qval","med_q_val","is_sig"
0,0.417878,0.375114,FALSE
0.0140281,0.11743,0.122847,FALSE
0,0.726544,0.747236,FALSE
0,0.998435,0.998396,FALSE
0.0300601,0.0745543,0.0962802,FALSE
0.931864,0.0289384,0.031382,TRUE
0.144289,0.0613946,0.0888837,FALSE
0.997996,0.0145315,0.0198189,TRUE
1,0.000317827,0.000286949,TRUE
0,0.998435,0.998418,FALSE
0,0.342257,0.291183,FALSE
0,0.137712,0.148175,FALSE
0,0.816727,0.808886,FALSE
0,0.998435,0.998422,FALSE
0,0.445027,0.421933,FALSE
0.00400802,0.125172,0.102079,FALSE
0.0460922,0.224155,0.164589,FALSE
1,0.000161618,0.000146762,TRUE
0,0.998435,0.998422,FALSE
0,0.998435,0.998385,FALSE
1,3.07954e-09,5.40163e-09,TRUE
1,9.67027e-12,1.0866e-11,TRUE
0,0.998435,0.998406,FALSE
0,0.393911,0.353111,FALSE
0.997996,0.00943431,0.014081,TRUE
0,0.934812,0.981804,FALSE
0,0.952686,0.927024,FALSE
0,0.790792,0.823905,FALSE
0,0.24822,0.273269,FALSE
0.981964,0.00964209,0.00946605,TRUE
1,9.02032e-12,3.67031e-12,TRUE
0,0.284313,0.325462,FALSE
0.0140281,0.155592,0.135557,FALSE
1,1.3451e-06,2.05177e-06,TRUE
0,0.89779,0.84042,FALSE
0,0.998435,0.998422,FALSE
1,0.00100603,0.00116885,TRUE
0,0.301195,0.325678,FALSE
0,0.998435,0.930329,FALSE
0,0.203215,0.224573,FALSE
0,0.510091,0.555968,FALSE
0,0.998435,0.998394,FALSE
0,0.998435,0.998392,FALSE
0,0.107173,0.115094,FALSE
0.0260521,0.180739,0.246367,FALSE
0,0.854954,0.806278,FALSE
0,0.90839,0.905261,FALSE
0,0.998435,0.998409,FALSE
0.342685,0.0337164,0.0687242,TRUE
0,0.998435,0.998422,FALSE
0,0.571905,0.62652,FALSE
0,0.998435,0.998422,FALSE
0,0.934374,0.965814,FALSE
1,0.00318825,0.00454738,TRUE
0,0.941011,0.998385,FALSE
0.0180361,0.123174,0.153304,FALSE
0,0.290594,0.269285,FALSE
1,6.54337e-10,2.05409e-09,TRUE
0.973948,0.0160592,0.0198085,TRUE
0.0180361,0.191543,0.125618,FALSE
0,0.85967,0.837745,FALSE
0,0.167232,0.260459,FALSE
0,0.615408,0.672886,FALSE
0,0.694003,0.72266,FALSE
0,0.998435,0.998418,FALSE
0,0.330944,0.424052,FALSE
0,0.991808,0.99489,FALSE
0,0.998435,0.998418,FALSE
0,0.277015,0.26506,FALSE
0,0.31838,0.316386,FALSE
0.95992,0.00431582,0.00810329,TRUE
0.901804,0.0121369,0.0147224,TRUE
0.0521042,0.0761418,0.0836274,FALSE
1,6.34241e-08,3.29006e-07,TRUE
0,0.998435,0.998422,FALSE
0.961924,0.0357333,0.030256,TRUE
0.0601202,0.26415,0.352225,FALSE
0,0.259304,0.32801,FALSE
0.176353,0.187771,0.233943,FALSE
1,4.6799e-12,7.25647e-12,TRUE
0,0.383337,0.39784,FALSE
0,0.194915,0.767369,FALSE
1,2.83792e-09,3.83722e-09,TRUE
0,0.998435,0.998422,FALSE
0,0.998435,0.998404,FALSE
1,6.90616e-09,4.65478e-09,TRUE
0,0.624733,0.573922,FALSE
0,0.998435,0.998422,FALSE
0,0.489436,0.539512,FALSE
0,0.178585,0.165576,FALSE
0,0.576396,0.584088,FALSE
1,1.88673e-06,3.02489e-06,TRUE
0.00801603,0.354338,0.379559,FALSE
0,0.976402,0.998385,FALSE
0.106212,0.0585142,0.0701585,FALSE
0,0.998435,0.998409,FALSE
0,0.989697,0.960172,FALSE
1,0.00152459,0.00207936,TRUE
0,0.998435,0.998422,FALSE
0,0.617204,0.674364,FALSE
0,0.407002,0.430732,FALSE
0,0.106523,0.14889,FALSE
0,0.941698,0.963194,FALSE
0.00200401,0.26236,0.265384,FALSE
0.196393,0.0163418,0.14699,TRUE
0,0.829429,0.875743,FALSE
0,0.525554,0.569156,FALSE
0,0.211047,0.226782,FALSE
0,0.993999,0.998386,FALSE
0.00200401,0.0861965,0.113849,FALSE
0,0.372337,0.365379,FALSE
0,0.665578,0.698239,FALSE
0,0.881457,0.88288,FALSE
1,0.00269525,0.00320576,TRUE
0.92986,0.0365093,0.0285563,TRUE
0.0400802,0.0828447,0.0805721,FALSE
1,4.86405e-14,1.66737e-13,TRUE
0,0.24416,0.269164,FALSE
0,0.998435,0.998422,FALSE
0,0.399116,0.422802,FALSE
0,0.813795,0.783941,FALSE
0,0.998435,0.998406,FALSE
1,0.00486855,0.00517178,TRUE
0,0.998435,0.998422,FALSE
0.00400802,0.670347,0.621313,FALSE
1,2.68486e-13,1.65874e-12,TRUE
1,0.000203045,0.000308837,TRUE
0.0621242,0.0765636,0.128713,FALSE
1,8.29271e-19,3.47603e-18,TRUE
0,0.628767,0.652007,FALSE
0,0.998435,0.998403,FALSE
0.0280561,0.182922,0.202289,FALSE
0.90982,0.0218644,0.0300574,TRUE
0,0.935832,0.998404,FALSE
0,0.45357,0.521205,FALSE
1,0.0121987,0.01177,TRUE
1,0.0024193,0.00239978,TRUE
0,0.800244,0.767343,FALSE
0,0.998435,0.977147,FALSE
0,0.199865,0.186015,FALSE
0.00801603,0.12056,0.133186,FALSE
0.0621242,0.998435,0.881703,FALSE
0.911824,0.00656001,0.0115611,TRUE
0.00400802,0.250385,0.248675,FALSE
0.981964,0.0189367,0.0261447,TRUE
0,0.804204,0.812745,FALSE
1,0.00163766,0.00195046,TRUE
0,0.983176,0.998389,FALSE
0.01002,0.493545,0.48156,FALSE
0,0.202351,0.199619,FALSE
0,0.781512,0.862656,FALSE
0.00200401,0.998435,0.998422,FALSE
0,0.322811,0.273573,FALSE
0,0.441,0.41078,FALSE
0,0.944174,0.998394,FALSE
1,0.00350956,0.00538393,TRUE
0,0.321547,0.296079,FALSE
0,0.998435,0.998417,FALSE
0.843687,0.03655,0.0309323,TRUE
0.0300601,0.0869889,0.0964597,FALSE
0,0.572705,0.595547,FALSE
1,0.0030412,0.00408119,TRUE
0,0.879342,0.925206,FALSE
0.276553,0.0491574,0.0613253,TRUE
0,0.921265,0.89929,FALSE
0,0.786996,0.791412,FALSE
0,0.599055,0.636809,FALSE
0.00801603,0.467063,0.550868,FALSE
0.00801603,0.585848,0.628397,FALSE
1,0.0153492,0.0134547,TRUE
0.809619,0.039344,0.0351794,TRUE
0,0.998435,0.998386,FALSE
0,0.850793,0.902544,FALSE
1,0.000236568,0.000285454,TRUE
0,0.956835,0.986759,FALSE
1,0.000267771,0.00290026,TRUE
0,0.297245,0.30964,FALSE
0.0781563,0.18235,0.131136,FALSE
0,0.625697,0.673957,FALSE
